                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
116,0.59637,0.49861,0.95457,0.93502,0.84945,0.9287,0.68819,0.56586,0.44346,0.96694,0.006205,0.006205,0.006205
117,0.59813,0.50554,0.96384,0.93395,0.85838,0.93353,0.69826,0.55694,0.44151,0.96227,0.006172,0.006172,0.006172
118,0.58946,0.49836,0.95674,0.93021,0.85257,0.93191,0.69265,0.56034,0.44273,0.96173,0.006139,0.006139,0.006139
119,0.60283,0.4971,0.96247,0.92516,0.85719,0.93221,0.69154,0.5709,0.44267,0.96454,0.006106,0.006106,0.006106
120,0.59565,0.50083,0.96444,0.93009,0.85104,0.93296,0.69146,0.57342,0.44444,0.96638,0.006073,0.006073,0.006073
121,0.602,0.50133,0.96117,0.92439,0.86046,0.93198,0.69012,0.57859,0.44662,0.96812,0.00604,0.00604,0.00604
122,0.61466,0.504,0.95883,0.93161,0.85516,0.9362,0.68939,0.58242,0.44514,0.96717,0.006007,0.006007,0.006007
123,0.6036,0.50393,0.95899,0.93799,0.85272,0.93483,0.69327,0.58166,0.44266,0.96705,0.005974,0.005974,0.005974
124,0.61692,0.50476,0.96058,0.9384,0.85838,0.93672,0.6985,0.5675,0.43768,0.96021,0.005941,0.005941,0.005941
125,0.59516,0.48566,0.95715,0.93369,0.8588,0.93649,0.70015,0.56284,0.43697,0.95564,0.005908,0.005908,0.005908
126,0.6253,0.50622,0.96119,0.93619,0.85555,0.93386,0.69377,0.58264,0.44313,0.96122,0.005875,0.005875,0.005875
127,0.60652,0.49114,0.95184,0.93634,0.85337,0.93263,0.69431,0.57665,0.43956,0.96025,0.005842,0.005842,0.005842
128,0.62172,0.50219,0.96078,0.93823,0.85415,0.93425,0.69518,0.58065,0.442,0.96092,0.005809,0.005809,0.005809
129,0.61571,0.4968,0.95926,0.94173,0.85116,0.93481,0.69794,0.57148,0.43654,0.95967,0.005776,0.005776,0.005776
130,0.62235,0.49943,0.96483,0.93668,0.85064,0.93336,0.69627,0.57626,0.43718,0.95944,0.005743,0.005743,0.005743
131,0.61057,0.48975,0.95572,0.93706,0.85748,0.93453,0.69779,0.57581,0.43347,0.95914,0.00571,0.00571,0.00571
132,0.6184,0.49857,0.95341,0.93433,0.85509,0.93388,0.69756,0.57685,0.43576,0.95948,0.005677,0.005677,0.005677
133,0.61301,0.49328,0.95815,0.93891,0.85505,0.93616,0.69816,0.57612,0.42986,0.95843,0.005644,0.005644,0.005644
134,0.61437,0.48793,0.95375,0.94099,0.84618,0.93346,0.69668,0.57762,0.43301,0.95818,0.005611,0.005611,0.005611
135,0.61502,0.4908,0.95529,0.93688,0.85669,0.935,0.69835,0.5842,0.43398,0.96115,0.005578,0.005578,0.005578
136,0.62465,0.48978,0.94886,0.94068,0.84924,0.93403,0.69831,0.58561,0.43308,0.96233,0.005545,0.005545,0.005545
137,0.62098,0.48752,0.94571,0.93516,0.85481,0.93461,0.69698,0.59351,0.43479,0.96377,0.005512,0.005512,0.005512
138,0.62469,0.48205,0.95716,0.93012,0.86046,0.93549,0.6988,0.59101,0.43156,0.96292,0.005479,0.005479,0.005479
139,0.62293,0.48352,0.95028,0.93518,0.85845,0.93384,0.69806,0.59243,0.43341,0.96016,0.005446,0.005446,0.005446
140,0.62687,0.48496,0.9485,0.93561,0.86195,0.93591,0.70074,0.58796,0.43105,0.95862,0.005413,0.005413,0.005413
141,0.62135,0.48113,0.94618,0.93645,0.85932,0.93656,0.69851,0.59801,0.43305,0.96174,0.00538,0.00538,0.00538
142,0.61788,0.48264,0.95307,0.93278,0.85464,0.93457,0.69917,0.59536,0.43038,0.95893,0.005347,0.005347,0.005347
143,0.6214,0.47835,0.94304,0.93673,0.85456,0.93487,0.69798,0.59923,0.42841,0.96021,0.005314,0.005314,0.005314
144,0.62286,0.48652,0.9489,0.93705,0.85473,0.93236,0.69895,0.59201,0.42903,0.9569,0.005281,0.005281,0.005281
145,0.6236,0.48401,0.94989,0.93133,0.85951,0.93245,0.69805,0.60009,0.42986,0.9591,0.005248,0.005248,0.005248
146,0.61742,0.47651,0.94482,0.92931,0.85665,0.93084,0.69407,0.60891,0.43164,0.9602,0.005215,0.005215,0.005215
147,0.61759,0.47724,0.94472,0.93346,0.85689,0.93175,0.69974,0.60054,0.42874,0.95894,0.005182,0.005182,0.005182
148,0.62593,0.47513,0.94989,0.93547,0.85836,0.93153,0.70116,0.59816,0.42643,0.95768,0.005149,0.005149,0.005149
149,0.61341,0.47231,0.94636,0.933,0.86185,0.93486,0.70299,0.60154,0.42423,0.95823,0.005116,0.005116,0.005116
150,0.63389,0.4824,0.94832,0.9359,0.86016,0.93577,0.70497,0.59889,0.4229,0.95574,0.005083,0.005083,0.005083
151,0.61113,0.47173,0.94498,0.9355,0.85872,0.93208,0.70309,0.601,0.42409,0.9564,0.00505,0.00505,0.00505
152,0.6467,0.48052,0.94749,0.93828,0.8549,0.93176,0.7016,0.61087,0.42509,0.95848,0.005017,0.005017,0.005017
153,0.63872,0.48095,0.95503,0.92774,0.86195,0.93204,0.70129,0.60768,0.42442,0.95741,0.004984,0.004984,0.004984
154,0.6437,0.48256,0.95205,0.92584,0.86611,0.93436,0.7032,0.60452,0.42156,0.95565,0.004951,0.004951,0.004951
155,0.63653,0.47402,0.94619,0.9398,0.85459,0.93536,0.70557,0.60703,0.42265,0.95588,0.004918,0.004918,0.004918
156,0.63405,0.47732,0.94716,0.93078,0.86416,0.93528,0.704,0.6119,0.42336,0.95567,0.004885,0.004885,0.004885
157,0.63541,0.48123,0.95413,0.94383,0.84983,0.93721,0.70555,0.60961,0.42308,0.95387,0.004852,0.004852,0.004852
158,0.63406,0.47256,0.94428,0.94461,0.85248,0.93794,0.70539,0.61225,0.42279,0.95482,0.004819,0.004819,0.004819
159,0.63884,0.4722,0.93887,0.94879,0.84528,0.93686,0.70355,0.61681,0.4232,0.95666,0.004786,0.004786,0.004786
160,0.63691,0.47369,0.94111,0.94765,0.85091,0.93782,0.70594,0.61448,0.42188,0.95562,0.004753,0.004753,0.004753
161,0.63046,0.46394,0.94404,0.9469,0.85004,0.93695,0.7067,0.61637,0.42131,0.9559,0.00472,0.00472,0.00472
162,0.63239,0.47428,0.94232,0.94795,0.85066,0.93712,0.70534,0.61891,0.42167,0.95648,0.004687,0.004687,0.004687
163,0.64034,0.47026,0.94446,0.9465,0.85302,0.9374,0.70546,0.62154,0.42094,0.95642,0.004654,0.004654,0.004654
164,0.64319,0.47444,0.9483,0.94892,0.85125,0.93745,0.70507,0.62368,0.42026,0.95759,0.004621,0.004621,0.004621
165,0.62162,0.45964,0.93938,0.9452,0.85481,0.93725,0.7055,0.61976,0.41915,0.9555,0.004588,0.004588,0.004588
166,0.64446,0.4675,0.94095,0.94241,0.86186,0.93726,0.70677,0.61923,0.4192,0.95383,0.004555,0.004555,0.004555
167,0.64283,0.46575,0.93551,0.94181,0.86191,0.93895,0.70765,0.61993,0.41871,0.95292,0.004522,0.004522,0.004522
168,0.64091,0.46693,0.94361,0.94357,0.85578,0.93723,0.70735,0.62197,0.41887,0.95255,0.004489,0.004489,0.004489
169,0.63653,0.45821,0.94099,0.94346,0.85957,0.9372,0.70889,0.62259,0.4186,0.9527,0.004456,0.004456,0.004456
170,0.64266,0.4661,0.9417,0.93581,0.86522,0.93714,0.7095,0.62215,0.41734,0.95329,0.004423,0.004423,0.004423
171,0.65369,0.46422,0.9409,0.93428,0.867,0.93783,0.70899,0.62526,0.41733,0.95297,0.00439,0.00439,0.00439
172,0.63638,0.46086,0.93893,0.93932,0.86195,0.93799,0.7087,0.6302,0.41699,0.95432,0.004357,0.004357,0.004357
173,0.64728,0.46278,0.93653,0.93753,0.86195,0.9372,0.70842,0.62803,0.4162,0.95337,0.004324,0.004324,0.004324
174,0.63326,0.45266,0.93216,0.9376,0.86552,0.93753,0.70903,0.62722,0.41566,0.9521,0.004291,0.004291,0.004291
175,0.64537,0.46202,0.93783,0.93896,0.86509,0.93867,0.70921,0.63047,0.41584,0.95236,0.004258,0.004258,0.004258
176,0.63896,0.45473,0.93826,0.93988,0.86049,0.93841,0.70915,0.62977,0.41642,0.95142,0.004225,0.004225,0.004225
177,0.64797,0.45899,0.93702,0.94032,0.85957,0.93847,0.70927,0.63307,0.41653,0.95162,0.004192,0.004192,0.004192
178,0.63486,0.45321,0.93953,0.94207,0.85635,0.93903,0.71113,0.63009,0.41386,0.95076,0.004159,0.004159,0.004159
179,0.64369,0.45401,0.93116,0.93977,0.8589,0.93834,0.70915,0.63291,0.4135,0.95147,0.004126,0.004126,0.004126
180,0.64362,0.45347,0.93293,0.94012,0.86462,0.93918,0.71051,0.63182,0.41194,0.95031,0.004093,0.004093,0.004093
181,0.64742,0.45698,0.93712,0.93809,0.86462,0.93922,0.71062,0.63346,0.41056,0.95061,0.00406,0.00406,0.00406
182,0.65039,0.45553,0.93193,0.94065,0.86195,0.93868,0.71182,0.63255,0.40968,0.9499,0.004027,0.004027,0.004027
183,0.6292,0.44994,0.92826,0.94016,0.86472,0.93884,0.71138,0.63247,0.40949,0.94971,0.003994,0.003994,0.003994
184,0.6356,0.4409,0.93127,0.93757,0.86641,0.93833,0.7104,0.63547,0.40942,0.95059,0.003961,0.003961,0.003961
185,0.64846,0.45659,0.93861,0.93686,0.86975,0.93936,0.71085,0.63695,0.4104,0.95069,0.003928,0.003928,0.003928
186,0.64852,0.45125,0.93281,0.9367,0.86732,0.93837,0.70998,0.63874,0.41063,0.95084,0.003895,0.003895,0.003895
187,0.64834,0.45084,0.9354,0.93599,0.86849,0.93951,0.7109,0.63993,0.40932,0.95133,0.003862,0.003862,0.003862
188,0.64952,0.45106,0.93029,0.93482,0.8673,0.93861,0.71078,0.64197,0.41068,0.9518,0.003829,0.003829,0.003829
189,0.64179,0.44323,0.92707,0.93133,0.86879,0.93878,0.71091,0.64235,0.40954,0.95121,0.003796,0.003796,0.003796
190,0.64191,0.44716,0.92716,0.93614,0.86356,0.93815,0.71042,0.64463,0.41018,0.95165,0.003763,0.003763,0.003763
191,0.64387,0.44521,0.92995,0.94407,0.85881,0.9399,0.71199,0.64421,0.40976,0.95131,0.00373,0.00373,0.00373
192,0.65228,0.45139,0.93476,0.937,0.86433,0.94028,0.7129,0.64389,0.40975,0.95039,0.003697,0.003697,0.003697
193,0.64396,0.44425,0.9274,0.93875,0.86254,0.94094,0.71335,0.64482,0.40939,0.95045,0.003664,0.003664,0.003664
194,0.65657,0.4506,0.93123,0.93757,0.86284,0.94036,0.71309,0.64587,0.40928,0.95072,0.003631,0.003631,0.003631
195,0.65293,0.44404,0.92865,0.93686,0.86224,0.94075,0.7121,0.64599,0.40935,0.9502,0.003598,0.003598,0.003598
196,0.64753,0.44109,0.92841,0.94063,0.86195,0.94089,0.71202,0.6452,0.40941,0.94931,0.003565,0.003565,0.003565
197,0.64452,0.44098,0.93184,0.93784,0.86284,0.94006,0.71145,0.6469,0.4099,0.94955,0.003532,0.003532,0.003532
198,0.65224,0.44632,0.9295,0.93249,0.8673,0.94007,0.71211,0.64854,0.41013,0.94956,0.003499,0.003499,0.003499
199,0.64816,0.44401,0.93188,0.93785,0.86199,0.94038,0.71195,0.65091,0.41102,0.94999,0.003466,0.003466,0.003466
200,0.65183,0.44353,0.92396,0.93859,0.86195,0.94002,0.71194,0.65196,0.41121,0.95019,0.003433,0.003433,0.003433
201,0.63724,0.4355,0.9243,0.93815,0.86254,0.93974,0.71153,0.65356,0.41197,0.95037,0.0034,0.0034,0.0034
