                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.93561,                0.55907,                0.98417,                0.92886,                0.81196,                0.91247,                0.66903,                 0.8757,                0.49403,                0.97679,               0.007558,               0.007558,               0.007558
                     77,                0.92969,                0.55041,                0.97757,                 0.9154,                0.82094,                0.90823,                0.66383,                0.88162,                0.48711,                0.97576,               0.007525,               0.007525,               0.007525
                     78,                0.93897,                0.55783,                0.97593,                0.91111,                0.82032,                0.90606,                0.66692,                0.87372,                0.49946,                0.97191,               0.007492,               0.007492,               0.007492
                     79,                 0.9321,                 0.5506,                0.98097,                0.91157,                  0.825,                0.90705,                0.66732,                0.87753,                 0.4869,                0.97447,               0.007459,               0.007459,               0.007459
                     80,                 0.9211,                0.54307,                0.97687,                0.92574,                0.82981,                0.91285,                0.65724,                0.90797,                0.48761,                0.98082,               0.007426,               0.007426,               0.007426
                     81,                0.92408,                0.54167,                0.97106,                0.92023,                0.83249,                0.91567,                0.67416,                0.86032,                0.47077,                0.96988,               0.007393,               0.007393,               0.007393
                     82,                0.93423,                0.54672,                0.97235,                0.90841,                0.83215,                0.90575,                0.66815,                0.86436,                 0.4858,                0.97093,                0.00736,                0.00736,                0.00736
                     83,                0.93591,                0.54787,                0.98162,                0.92592,                0.82327,                0.91404,                0.67927,                 0.8558,                0.48031,                0.97147,               0.007327,               0.007327,               0.007327
                     84,                0.92003,                0.54181,                0.97283,                0.91117,                0.83398,                0.91445,                0.67077,                 0.8824,                0.48169,                0.97387,               0.007294,               0.007294,               0.007294
                     85,                0.93616,                0.54566,                0.98128,                0.92786,                0.82505,                0.91196,                0.66749,                0.86721,                0.48547,                0.97013,               0.007261,               0.007261,               0.007261
                     86,                 0.9246,                0.53978,                0.96878,                 0.9085,                0.83517,                 0.9125,                0.65916,                0.89538,                0.48944,                0.97711,               0.007228,               0.007228,               0.007228
                     87,                0.92613,                0.53838,                0.97694,                0.93244,                0.82832,                0.91682,                 0.6761,                0.87113,                0.48306,                0.97194,               0.007195,               0.007195,               0.007195
                     88,                0.92565,                0.54612,                0.97446,                0.91947,                0.82886,                0.91505,                0.67232,                0.86438,                 0.4806,                0.97157,               0.007162,               0.007162,               0.007162
                     89,                 0.9127,                0.52509,                  0.967,                0.91889,                0.82246,                0.91258,                0.66647,                0.87112,                0.48335,                0.96999,               0.007129,               0.007129,               0.007129
                     90,                0.91492,                0.53123,                0.96856,                0.91791,                0.83636,                0.91884,                  0.675,                0.86972,                 0.4747,                0.97279,               0.007096,               0.007096,               0.007096
                     91,                0.89991,                0.52247,                0.96524,                0.92795,                0.83156,                 0.9204,                0.67959,                0.85342,                0.47203,                 0.9696,               0.007063,               0.007063,               0.007063
                     92,                0.92388,                 0.5368,                0.97114,                0.91761,                0.85004,                0.91955,                0.68265,                0.86021,                0.46661,                0.97353,                0.00703,                0.00703,                0.00703
                     93,                0.91784,                0.52999,                0.96465,                0.92165,                0.83338,                 0.9191,                0.68279,                 0.8621,                0.46966,                0.96969,               0.006997,               0.006997,               0.006997
                     94,                0.90622,                0.52968,                0.96739,                0.92533,                0.83695,                0.91612,                0.67453,                0.86759,                0.46962,                0.96986,               0.006964,               0.006964,               0.006964
                     95,                0.90677,                0.52553,                0.96868,                0.92323,                0.83606,                0.92056,                 0.6812,                0.86321,                0.46413,                0.96718,               0.006931,               0.006931,               0.006931
                     96,                0.92801,                0.53245,                0.97058,                0.91551,                 0.8429,                0.91973,                0.67636,                0.86888,                0.46501,                 0.9706,               0.006898,               0.006898,               0.006898
                     97,                 0.9055,                0.52215,                0.96519,                0.92282,                0.84409,                0.92328,                0.68356,                0.86251,                0.46201,                0.97024,               0.006865,               0.006865,               0.006865
                     98,                0.90834,                0.52776,                 0.9672,                0.92701,                 0.8351,                0.91869,                0.68136,                0.85174,                0.45969,                0.96544,               0.006832,               0.006832,               0.006832
                     99,                 0.8924,                0.51792,                0.95949,                0.91946,                0.84142,                0.92135,                0.68873,                0.84687,                0.45993,                0.96421,               0.006799,               0.006799,               0.006799
                    100,                0.90786,                0.51732,                0.95796,                0.91489,                0.84431,                0.91791,                0.68165,                0.86098,                0.46621,                0.96962,               0.006766,               0.006766,               0.006766
                    101,                0.90453,                0.52126,                0.97148,                0.92442,                0.84062,                0.92056,                0.67825,                0.86605,                0.46026,                0.96761,               0.006733,               0.006733,               0.006733
                    102,                0.90298,                0.51577,                0.96104,                0.92199,                0.83696,                0.91568,                0.68129,                0.85702,                0.45855,                 0.9672,                 0.0067,                 0.0067,                 0.0067
                    103,                0.90047,                0.51762,                0.96398,                0.91681,                0.84171,                0.91681,                 0.6851,                0.83559,                 0.4534,                0.95706,               0.006667,               0.006667,               0.006667
                    104,                0.89412,                0.51911,                0.95838,                 0.9035,                0.84962,                 0.9193,                0.68768,                0.84388,                0.46115,                0.95993,               0.006634,               0.006634,               0.006634
                    105,                0.89433,                 0.5156,                0.96261,                0.90877,                0.85481,                0.92176,                0.68155,                0.85101,                0.45763,                0.96144,               0.006601,               0.006601,               0.006601
                    106,                0.88997,                 0.5145,                 0.9548,                0.91243,                0.84796,                0.91957,                0.66884,                  0.881,                0.46347,                0.97619,               0.006568,               0.006568,               0.006568
                    107,                0.88871,                0.50994,                0.95383,                0.91466,                0.83725,                0.91798,                0.67845,                 0.8557,                0.46223,                 0.9691,               0.006535,               0.006535,               0.006535
